layerID,ComputeKer16,,FirstReadLatency,,FirstWeightOverhead,,IstageLastInputLatency,,IstageNoInputLatency,,IstageNoOutputLatency,,IstageNormalInputLatency,,IstageReadOverhead,,IstageWriteOverhead,,Iternumber,,LoadFeedingBuffer,,LoadKern_Data,,LoadKern_Total,,OStgBuffSeq,,ProcResult,,ProcResultLast,,ProcWeightLast,,ProcWeightLastNkpf,,ProcWeightLastRowStep,,ProcWeightNormal,,ProcWeightOverhead,,ReadInputFirst_Data,,ReadInputFirst_Total,,ReadInputLast_Data,,ReadInputLast_Total,,ReadInputNormal_Data,,ReadInputNormal_Total,,TotalLatency,,WriteOutputLast_Data,,WriteOutputLast_Total,,WriteOutputNormal_Data,,WriteOutputNormal_Total,
46,944.0,,0,,4044.0,,0,,26668.0,,0,,0,,1110.0,,2536.0,,2,,3428.0,,3900.0,,4044.0,,168.0,,2056.0,,2056.0,,22624.0,,22624.0,,23996.0,,23996.0,,3428.0,,966.0,,1110.0,,0.0,,0.0,,0.0,,0.0,,32814.0,,2296.0,,2536.0,,2296.0,,2536.0,
47,656.0,,0,,2640.0,,0,,14152.0,,0,,0,,17760.0,,2536.0,,2,,1672.0,,2496.0,,2640.0,,168.0,,1480.0,,1480.0,,11512.0,,11512.0,,11704.0,,11704.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,36948.0,,2296.0,,2536.0,,2296.0,,2536.0,
48,672.0,,0,,9160.0,,0,,55264.0,,0,,0,,18870.0,,10144.0,,7,,1860.0,,9016.0,,9160.0,,168.0,,4872.0,,840.0,,12000.0,,12000.0,,34104.0,,34104.0,,1860.0,,16422.0,,18870.0,,0.0,,0.0,,0.0,,0.0,,86778.0,,9184.0,,10144.0,,9184.0,,10144.0,
49,672.0,,0,,6586.0,,0,,31282.0,,0,,0,,18870.0,,6340.0,,5,,1860.0,,6442.0,,6586.0,,168.0,,3528.0,,3528.0,,24696.0,,24696.0,,24696.0,,24696.0,,1860.0,,16422.0,,18870.0,,0.0,,0.0,,0.0,,0.0,,58992.0,,5740.0,,6340.0,,5740.0,,6340.0,
50,672.0,,0,,1438.0,,0,,13860.0,,0,,0,,18870.0,,1268.0,,1,,1860.0,,1294.0,,1438.0,,168.0,,840.0,,840.0,,12000.0,,12000.0,,13020.0,,13020.0,,1860.0,,16422.0,,18870.0,,0.0,,0.0,,0.0,,0.0,,36498.0,,1148.0,,1268.0,,1148.0,,1268.0,
52,1584.0,,0,,17694.0,,0,,130926.0,,0,,0,,5550.0,,12680.0,,5,,3804.0,,17550.0,,17694.0,,168.0,,8088.0,,8088.0,,56616.0,,56616.0,,56616.0,,56616.0,,3804.0,,4830.0,,5550.0,,0.0,,0.0,,0.0,,0.0,,151656.0,,11480.0,,12680.0,,11480.0,,12680.0,
53,944.0,,0,,7944.0,,0,,35552.0,,0,,0,,1110.0,,5072.0,,4,,3428.0,,7800.0,,7944.0,,168.0,,3944.0,,3944.0,,27608.0,,27608.0,,27608.0,,27608.0,,3428.0,,966.0,,1110.0,,0.0,,0.0,,0.0,,0.0,,44234.0,,4592.0,,5072.0,,4592.0,,5072.0,
54,672.0,,0,,5292.0,,0,,25284.0,,0,,0,,18870.0,,5072.0,,4,,1860.0,,5148.0,,5292.0,,168.0,,2856.0,,2856.0,,19992.0,,19992.0,,19992.0,,19992.0,,1860.0,,16422.0,,18870.0,,0.0,,0.0,,0.0,,0.0,,51726.0,,4592.0,,5072.0,,4592.0,,5072.0,
56,976.0,,0,,14340.0,,0,,32436.0,,0,,0,,10296.0,,3424.0,,7,,2612.0,,14196.0,,14340.0,,168.0,,7000.0,,1144.0,,3756.0,,3756.0,,14000.0,,14000.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,48656.0,,2464.0,,3424.0,,2464.0,,3424.0,
57,976.0,,0,,10284.0,,0,,20380.0,,0,,0,,10296.0,,2140.0,,5,,2612.0,,10140.0,,10284.0,,168.0,,5048.0,,5048.0,,10096.0,,10096.0,,10096.0,,10096.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,35316.0,,1540.0,,2140.0,,1540.0,,2140.0,
